report_month,spill_type,rurality,n_events,mean_delay,time,post_2020,time_post
2021-11-01,Historical,Suburban,1,0.0,81.23333333333333,1,81.23333333333333
2021-12-01,Historical,Suburban,5,0.0,82.23333333333333,1,82.23333333333333
2022-01-01,Historical,Suburban,4,1.0,83.26666666666667,1,83.26666666666667
2022-02-01,Historical,Suburban,0,,84.3,1,84.3
2022-03-01,Historical,Suburban,3,0.0,85.23333333333333,1,85.23333333333333
2022-04-01,Historical,Suburban,1,0.0,86.26666666666667,1,86.26666666666667
2022-05-01,Historical,Suburban,0,,87.26666666666667,1,87.26666666666667
2022-06-01,Historical,Suburban,0,,88.3,1,88.3
2022-07-01,Historical,Suburban,1,0.0,89.3,1,89.3
2022-08-01,Historical,Suburban,7,0.14285714285714285,90.33333333333333,1,90.33333333333333
2022-09-01,Historical,Suburban,6,0.16666666666666666,91.36666666666666,1,91.36666666666666
2022-10-01,Historical,Suburban,3,0.3333333333333333,92.36666666666666,1,92.36666666666666
2022-11-01,Historical,Suburban,5,0.4,93.4,1,93.4
2022-12-01,Historical,Suburban,6,0.0,94.4,1,94.4
2023-01-01,Historical,Suburban,3,0.0,95.43333333333334,1,95.43333333333334
2023-02-01,Historical,Suburban,0,,96.46666666666667,1,96.46666666666667
2023-03-01,Historical,Suburban,7,0.2857142857142857,97.4,1,97.4
2023-04-01,Historical,Suburban,5,0.4,98.43333333333334,1,98.43333333333334
2023-05-01,Historical,Suburban,3,0.0,99.43333333333334,1,99.43333333333334
2023-06-01,Historical,Suburban,3,1.0,100.46666666666667,1,100.46666666666667
2023-07-01,Historical,Suburban,0,,101.46666666666667,1,101.46666666666667
2023-08-01,Historical,Suburban,3,0.3333333333333333,102.5,1,102.5
2023-09-01,Historical,Suburban,0,,103.53333333333333,1,103.53333333333333
2023-10-01,Historical,Suburban,0,,104.53333333333333,1,104.53333333333333
2023-11-01,Historical,Suburban,1,0.0,105.56666666666666,1,105.56666666666666
